"code","isaccessory","isindividual","isline","ismetallic","ispackage","ispaint","isstandard","istop","istrim","isuni","isupholstery","iswheel","name","optionattribute","optionpackagecodekey","optiontype","price","vehicleref","vehicle_id","ismarketing","wholesaleprice"
"S09QV",False,False,False,False,False,False,False,False,False,False,False,False,"5AT Preparation for FOD","0",NULL,"O","0",NULL,"63978156",False,0
"S0ZAX",False,False,False,False,False,False,False,False,False,False,False,False,"Apple CarPlay and Android Auto Compatibility","0",NULL,"O","0",NULL,"63978156",False,0
"S0ZCV",False,False,False,False,True,False,False,False,False,False,False,False,"Convenience Package","1",NULL,"","1400",NULL,"63978156",True,1300
"S0ZJY",False,False,False,False,False,False,False,False,False,False,False,False,"Digital Key Plus with Setup Card","0",NULL,"O","0",NULL,"63978156",False,0
"S0ZN1",False,False,False,False,False,False,False,False,False,False,False,False,"Active Blind Spot Detection","0",NULL,"O","0",NULL,"63978156",False,0
"S0ZN8",False,False,False,False,False,False,False,False,False,False,False,False,"Lane Keeping Assistant","0",NULL,"O","0",NULL,"63978156",False,0
"S0ZNY",False,False,False,False,False,False,False,False,False,False,False,False,"Forward Collision Mitigation","0",NULL,"O","0",NULL,"63978156",False,0
"S0ZOS",False,False,False,False,False,False,False,False,False,False,False,False,"Speed Limit Assistant","0",NULL,"O","0",NULL,"63978156",False,0
"S0ZTM",False,False,False,False,False,False,False,False,False,False,False,False,"Tier 2","0",NULL,"O","0",NULL,"63978156",False,0
"S0ZXZ",False,False,False,False,False,False,False,False,False,False,False,False,"Active Park Distance Control with Side Protection","0",NULL,"O","0",NULL,"63978156",False,0
"SDAG1",False,False,False,False,False,False,False,False,False,False,False,False,"MACO","",NULL,"L","0",NULL,"63978156",False,100
"SDEST",False,False,False,False,False,False,False,False,False,False,False,False,"Destination Charge","",NULL,"L","1350",NULL,"63978156",False,1350
"STRNG",False,False,False,False,False,False,False,False,False,False,False,False,"Training/Service Fee","",NULL,"L","0",NULL,"63978156",False,180
"US_S0ZD9",False,False,False,False,False,False,False,False,False,False,False,False,"BMW All-Weather Floor Mats","",NULL,"V","250",NULL,"63978156",False,230
"US_S0ZGC",False,False,False,False,False,False,False,False,False,False,False,False,"Floating Hub Caps","",NULL,"V","180",NULL,"63978156",False,165
"FKSSW",False,False,False,False,False,False,False,False,False,False,True,False,"Black Perforated and Quilted Veganza","0",NULL,"U","0",NULL,"63978108",True,0
"P0A90",False,False,False,True,False,True,False,False,False,False,False,False,"Dark Graphite Metallic","0",NULL,"C","650",NULL,"63978108",True,605
"S01CB",False,False,False,False,False,False,True,False,False,False,False,False,"CO2 content","",NULL,"O","0",NULL,"63978108",False,0
"S01CE",False,False,False,False,False,False,True,False,False,False,False,False,"48V Mild Hybrid System","",NULL,"O","0",NULL,"63978108",False,0
"S01CR",False,False,False,False,False,False,False,False,False,False,False,False,"Remote Engine Start","2","S0ZCV","O","0",NULL,"63978108",False,0
"S01D0",False,False,False,False,False,False,True,False,False,False,False,False,"Exhaust technology SULEV20 PM.","",NULL,"O","0",NULL,"63978108",False,0
"S0212",False,False,False,False,False,False,True,False,False,False,False,False,"Brake System Equipment","",NULL,"O","0",NULL,"63978108",False,0
"S0248",False,False,False,False,False,False,False,False,False,False,False,False,"Heated Steering Wheel","2","S0ZCV","O","0",NULL,"63978108",False,0
"S02TE",False,False,False,False,False,False,True,False,False,False,False,False,"STEPTRONIC automatic transmission with shift Paddles","",NULL,"O","0",NULL,"63978108",False,0
